Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
,,,,,,,La Festa Catalana,2017-08-07,0
,,,,,,,La Festa Catalana,2017-08-08,0
,,,,,,,La Festa Catalana,2017-08-09,0
,,,,,,,La Festa Catalana,2017-08-10,0
,,,,,,,La Festa Catalana,2017-08-11,0
,,,,,,,La Festa Catalana,2017-08-12,0
,,,,,,,La Festa Catalana,2017-08-13,0
,,,,,,,La Festa Catalana,2017-08-14,0
,,,,,,,La Festa Catalana,2017-08-15,1
,,,,,,,La Festa Catalana,2017-08-16,0
,,,,,,,La Festa Catalana,2017-08-17,0
,,,,,,,La Festa Catalana,2017-08-18,0
,,,,,,,La Festa Catalana,2017-08-19,0
,,,,,,,La Festa Catalana,2017-08-20,0
,,,,,,,La Festa Catalana,2017-08-21,0
,,,,,,,La Festa Catalana,2017-08-22,0
,,,,,,,La Festa Catalana,2017-08-23,0
,,,,,,,La Festa Catalana,2017-08-24,0
,,,,,,,La Festa Catalana,2017-08-25,0
,,,,,,,La Festa Catalana,2017-08-26,0
,,,,,,,La Festa Catalana,2017-08-27,0
,,,,,,,La Festa Catalana,2017-08-28,0
,,,,,,,La Festa Catalana,2017-08-29,0
,,,,,,,La Festa Catalana,2017-08-30,0
,,,,,,,La Festa Catalana,2017-08-31,0
,,,,,,,La Festa Catalana,2017-09-01,0
,,,,,,,La Festa Catalana,2017-09-02,0
,,,,,,,La Festa Catalana,2017-09-03,0
,,,,,,,La Festa Catalana,2017-09-04,0
,,,,,,,La Festa Catalana,2017-09-05,0
,,,,,,,La Festa Catalana,2017-09-06,0
,,,,,,,La Festa Catalana,2017-09-07,0
,,,,,,,La Festa Catalana,2017-09-08,0
,,,,,,,La Festa Catalana,2017-09-09,0
,,,,,,,La Festa Catalana,2017-09-10,0
,,,,,,,La Festa Catalana,2017-09-11,1
,,,,,,,La Festa Catalana,2017-09-12,0
,,,,,,,La Festa Catalana,2017-09-13,0
,,,,,,,La Festa Catalana,2017-09-14,0
,,,,,,,La Festa Catalana,2017-09-15,0
,,,,,,,La Festa Catalana,2017-09-16,0
,,,,,,,La Festa Catalana,2017-09-17,0
,,,,,,,La Festa Catalana,2017-09-18,0
,,,,,,,La Festa Catalana,2017-09-19,0
,,,,,,,La Festa Catalana,2017-09-20,0
,,,,,,,La Festa Catalana,2017-09-21,0
,,,,,,,La Festa Catalana,2017-09-22,0
,,,,,,,La Festa Catalana,2017-09-23,0
,,,,,,,La Festa Catalana,2017-09-24,0
,,,,,,,La Festa Catalana,2017-09-25,0
,,,,,,,La Festa Catalana,2017-09-26,0
,,,,,,,La Festa Catalana,2017-09-27,0
,,,,,,,La Festa Catalana,2017-09-28,0
,,,,,,,La Festa Catalana,2017-09-29,0
,,,,,,,La Festa Catalana,2017-09-30,0
,,,,,,,La Festa Catalana,2017-10-01,0
,,,,,,,La Festa Catalana,2017-10-02,0
,,,,,,,La Festa Catalana,2017-10-03,0
,,,,,,,La Festa Catalana,2017-10-04,0
,,,,,,,La Festa Catalana,2017-10-05,0
,,,,,,,La Festa Catalana,2017-10-06,0
,,,,,,,La Festa Catalana,2017-10-07,0
,,,,,,,La Festa Catalana,2017-10-08,0
,,,,,,,La Festa Catalana,2017-10-09,0
,,,,,,,La Festa Catalana,2017-10-10,0
,,,,,,,La Festa Catalana,2017-10-11,0
,,,,,,,La Festa Catalana,2017-10-12,1
,,,,,,,La Festa Catalana,2017-10-13,0
,,,,,,,La Festa Catalana,2017-10-14,0
,,,,,,,La Festa Catalana,2017-10-15,0
,,,,,,,La Festa Catalana,2017-10-16,0
,,,,,,,La Festa Catalana,2017-10-17,0
,,,,,,,La Festa Catalana,2017-10-18,0
,,,,,,,La Festa Catalana,2017-10-19,0
,,,,,,,La Festa Catalana,2017-10-20,0
,,,,,,,La Festa Catalana,2017-10-21,0
,,,,,,,La Festa Catalana,2017-10-22,0
,,,,,,,La Festa Catalana,2017-10-23,0
,,,,,,,La Festa Catalana,2017-10-24,0
,,,,,,,La Festa Catalana,2017-10-25,0
,,,,,,,La Festa Catalana,2017-10-26,0
,,,,,,,La Festa Catalana,2017-10-27,0
,,,,,,,La Festa Catalana,2017-10-28,0
,,,,,,,La Festa Catalana,2017-10-29,0
,,,,,,,La Festa Catalana,2017-10-30,0
,,,,,,,La Festa Catalana,2017-10-31,0
,,,,,,,La Festa Catalana,2017-11-01,1
,,,,,,,La Festa Catalana,2017-11-02,0
,,,,,,,La Festa Catalana,2017-11-03,0
,,,,,,,La Festa Catalana,2017-11-04,0
,,,,,,,La Festa Catalana,2017-11-05,0
,,,,,,,La Festa Catalana,2017-11-06,0
,,,,,,,La Festa Catalana,2017-11-07,0
,,,,,,,La Festa Catalana,2017-11-08,0
,,,,,,,La Festa Catalana,2017-11-09,0
,,,,,,,La Festa Catalana,2017-11-10,0
,,,,,,,La Festa Catalana,2017-11-11,0
,,,,,,,La Festa Catalana,2017-11-12,0
,,,,,,,La Festa Catalana,2017-11-13,0
,,,,,,,La Festa Catalana,2017-11-14,0
,,,,,,,La Festa Catalana,2017-11-15,0
,,,,,,,La Festa Catalana,2017-11-16,0
,,,,,,,La Festa Catalana,2017-11-17,0
,,,,,,,La Festa Catalana,2017-11-18,0
,,,,,,,Nit dels Museus,2017-05-20,0
,,,,,,,Festa de la Ciència,2017-05-27,0
,,,,,,,Festa de la Ciència,2017-05-28,0
,,,,,,,L'ou com balla,2017-06-15,0
,,,,,,,L'ou com balla,2017-06-16,0
,,,,,,,L'ou com balla,2017-06-17,0
,,,,,,,L'ou com balla,2017-06-18,0
,,,,,,,Revetlla de Sant Joan,2017-06-23,0
,,,,,,,Festa Major de Gràcia,2017-08-14,0
,,,,,,,Festa Major de Gràcia,2017-08-15,1
,,,,,,,Festa Major de Gràcia,2017-08-16,0
,,,,,,,Festa Major de Gràcia,2017-08-17,0
,,,,,,,Festa Major de Gràcia,2017-08-18,0
,,,,,,,Festa Major de Gràcia,2017-08-19,0
,,,,,,,Festa Major de Gràcia,2017-08-20,0
,,,,,,,Festa Major de Gràcia,2017-08-21,0
,,,,,,,Festa Major de Sants,2017-08-19,0
,,,,,,,Festa Major de Sants,2017-08-20,0
,,,,,,,Festa Major de Sants,2017-08-21,0
,,,,,,,Festa Major de Sants,2017-08-22,0
,,,,,,,Festa Major de Sants,2017-08-23,0
,,,,,,,Festa Major de Sants,2017-08-24,0
,,,,,,,Festa Major de Sants,2017-08-25,0
,,,,,,,Festa Major de Sants,2017-08-26,0
,,,,,,,Festa Major de Sants,2017-08-27,0
,,,,,,,Diada de l'Onze de Setembre,2017-09-11,1
,,,,,,,Museu Endins,2017-12-02,0
,,,,,,,La Mercè,2017-12-22,0
,,,,,,,La Mercè,2017-12-23,0
,,,,,,,La Mercè,2017-12-24,0
,,,,,,,La Mercè,2017-12-25,1
,,,,,,,Espectacle Nit de Cap d'Any,2017-12-31,0
,,,,,,,Cavalcada de Reis,2018-01-05,0
,,,,,,,Cavalcada dels Tres Tombs ,2018-01-20,0
,,,,,,,Museu Endins,2018-02-03,0
,,,,,,,Carnaval,2018-02-08,0
,,,,,,,Carnaval,2018-02-09,0
,,,,,,,Carnaval,2018-02-10,0
,,,,,,,Carnaval,2018-02-11,0
,,,,,,,Carnaval,2018-02-12,0
,,,,,,,Festes de Santa Eulàlia,2018-02-13,0
,,,,,,,Festes de Santa Eulàlia,2018-02-14,0
,,,,,,,Festes de Santa Eulàlia,2018-02-15,0
,,,,,,,Festes de Santa Eulàlia,2018-02-16,0
,,,,,,,Festes de Santa Eulàlia,2018-02-17,0
,,,,,,,Festes de Santa Eulàlia,2018-02-18,0
,,,,,,,Sant Medir,2018-03-03,0
,,,,,,,Diàlegs de Sant Jordi,2018-04-19,0
,,,,,,,Diàlegs de Sant Jordi,2018-04-20,0
,,,,,,,Diàlegs de Sant Jordi,2018-04-21,0
,,,,,,,Nit del Drac - Nit d'Homenatges,2018-04-22,0
